user_id,age,gender,location,plan_type,monthly_fee_usd,data_usage_gb,call_minutes,sms_count,tenure_months,customer_support_calls,network_quality_score,payment_method,monthly_revenue,churned
20000000,39,Male,Urban,Postpaid Basic,12,3.0488903742326867,915.3720740361007,24.578356047377735,76,1,3.6,E-wallet,13.57,False
20000001,33,Male,Urban,Prepaid,9,10.788807196468847,572.0231800360625,58.33290034502369,44,0,2.4,Auto-debit,12.03,False
20000002,41,Female,Urban,Prepaid,5,4.513158405144667,51.091499983055456,64.41474863619445,12,1,3.9,Bank Transfer,5.97,False
20000003,50,Female,Urban,Postpaid Premium,55,2.615375362340493,346.57361748537966,13.57419651270041,51,2,4.3,E-wallet,55.76,True
20000004,32,Male,Suburban,Prepaid,6,6.303142962704818,178.39877141253527,100.84261304028134,49,2,4.0,Auto-debit,9.63,True
20000005,32,Female,Urban,Student Plan,9,15.959496672067864,97.10405465851721,10.797507926375431,116,1,1.7,Auto-debit,12.9,False
20000006,50,Male,Urban,Postpaid Basic,10,14.750079143348227,31.985585775212996,0.0,24,0,4.5,Bank Transfer,14.63,False
20000007,42,Female,Urban,Prepaid,9,11.215023610271999,386.4433381518508,65.23112285460206,24,3,4.4,E-wallet,13.52,False
20000008,30,Female,Rural,Prepaid,8,2.3364972005503457,163.7239529860852,17.30367462342641,60,4,4.3,Cash,8.58,True
20000009,40,Female,Urban,Prepaid,4,9.018596743060316,493.5652048050408,62.85165883029552,11,0,3.9,E-wallet,6.84,False
20000010,30,Female,Urban,Prepaid,9,11.508500044508677,498.75644290608784,0.0,13,2,3.7,Auto-debit,17.59,False
20000011,30,Female,Suburban,Prepaid,3,10.87768114789299,574.7828770422899,105.6982376593227,91,6,4.5,E-wallet,5.3,False
20000012,37,Male,Urban,Prepaid,6,0.7810320825962709,129.5226467851793,76.8917363216161,72,1,5.0,Auto-debit,6.46,False
20000013,15,Female,Urban,Prepaid,8,5.548410759900641,395.073122138402,0.0,74,3,2.5,Bank Transfer,10.39,False
20000014,17,Male,Urban,Postpaid Premium,54,9.679611179256417,426.4908433284602,0.0,72,1,4.6,Auto-debit,59.84,False
20000015,29,Female,Suburban,Postpaid Basic,15,12.68145454758595,205.16436497920702,116.8906361639011,64,0,3.4,E-wallet,22.02,False
20000016,24,Female,Urban,Postpaid Premium,35,0.0,145.64560852142498,20.50480386008166,20,1,3.4,Cash,35.0,False
20000017,38,Female,Suburban,Prepaid,4,9.189380122600708,621.9041331551946,16.632606050695045,72,2,2.0,E-wallet,10.51,False
20000018,25,Male,Rural,Prepaid,6,10.715243849394762,345.4991751464107,0.0,73,1,3.2,Bank Transfer,11.31,True
20000019,20,Female,Urban,Postpaid Basic,21,14.248059942581065,427.1935501423476,35.968871775937835,71,2,2.5,Cash,30.88,False
20000020,49,Female,Urban,Prepaid,8,13.464287921187184,135.5847976344145,40.891215406569884,78,1,3.0,Auto-debit,13.97,False
20000021,32,Female,Urban,Prepaid,6,12.912856594044026,56.143106695561244,78.61972387077941,28,3,2.4,Bank Transfer,16.21,False
20000022,35,Male,Urban,Postpaid Premium,42,6.000297466490329,186.1100451015779,0.0,2,2,3.1,E-wallet,45.97,True
20000023,20,Male,Urban,Postpaid Premium,50,0.4599893143834617,275.1957225220006,0.0,43,2,3.1,Bank Transfer,50.36,True
20000024,29,Male,Rural,Postpaid Basic,14,8.034736214692995,87.15599863653023,68.03850539105908,8,3,3.6,Cash,18.09,True
20000025,36,Male,Suburban,Prepaid,9,15.0081591260428,298.0310382699234,90.26920284908259,13,0,1.9,Auto-debit,16.27,True
20000026,23,Female,Suburban,Postpaid Premium,31,16.96727263762216,0.0,0.0,85,2,2.1,Bank Transfer,42.08,True
20000027,38,Male,Urban,Postpaid Basic,22,13.552745511488926,75.99051550602556,93.26056345198964,111,2,3.9,E-wallet,31.87,False
20000028,28,Non-binary,Suburban,Postpaid Premium,25,12.14670411400867,434.182249655375,51.50167365947286,92,2,2.7,E-wallet,34.46,True
20000029,32,Male,Rural,Postpaid Premium,50,11.898198241929828,420.7581040555788,93.67221356298583,35,5,4.6,E-wallet,54.7,False
20000030,28,Male,Suburban,Postpaid Premium,47,7.219406266196097,221.6246469226267,47.19118553929534,23,2,3.7,Auto-debit,51.9,True
20000031,53,Female,Urban,Postpaid Basic,19,9.3496985322319,96.4471381846094,0.0,46,0,4.1,E-wallet,22.05,False
20000032,34,Female,Suburban,Prepaid,7,18.345347629131656,94.5192896947978,43.921304707358445,15,2,4.9,Bank Transfer,16.67,False
20000033,24,Female,Urban,Postpaid Basic,15,5.287209971040618,225.34635081173718,92.4057527468508,2,4,3.2,Auto-debit,16.63,True
20000034,43,Female,Urban,Postpaid Basic,15,18.07389395354926,428.9036983290583,14.250159236651427,61,0,2.9,Cash,22.38,False
20000035,22,Female,Urban,Postpaid Premium,32,8.389859227539707,485.64913826886493,34.48140124370191,115,1,4.4,E-wallet,38.37,True
20000036,37,Male,Suburban,Prepaid,8,16.62716054547539,200.6936529036062,42.95465985796087,76,3,4.0,Auto-debit,12.78,False
20000037,15,Prefer not to say,Suburban,Prepaid,5,2.9659249525123084,69.30151480304323,0.0,64,1,3.3,E-wallet,6.72,False
20000038,21,Non-binary,Urban,Family Plan,76,12.929521005823245,353.56872757326664,116.85390301749905,52,0,4.9,Auto-debit,83.19,False
20000039,36,Female,Urban,Postpaid Premium,42,6.31614932026189,135.2930058748301,13.944972804113021,36,1,3.3,E-wallet,43.72,False
20000040,42,Male,Urban,Family Plan,70,2.9236640403790624,196.34947222775952,70.22941729891195,67,1,3.5,Auto-debit,71.16,True
20000041,36,Female,Urban,Postpaid Premium,54,11.092670212054728,565.0552180874075,46.53195455407165,69,2,3.5,Auto-debit,59.97,False
20000042,33,Male,Urban,Postpaid Basic,18,15.047358942979844,465.42308571315357,100.3047622543744,67,0,2.6,Bank Transfer,22.7,False
20000043,31,Male,Urban,Postpaid Basic,19,5.7752928070325185,331.59486245029035,66.24224489712324,47,1,3.6,Cash,22.93,False
20000044,20,Male,Suburban,Family Plan,72,2.5049201977079942,45.61619977745545,40.603029139161016,83,1,4.9,Bank Transfer,73.96,False
20000045,27,Male,Urban,Postpaid Basic,19,9.540776178325224,342.27931349413177,14.25939629922879,2,2,3.9,E-wallet,22.14,True
20000046,30,Female,Urban,Postpaid Basic,14,9.562823356114095,512.5314581575053,81.91402805528556,44,4,3.5,Bank Transfer,16.99,True
20000047,45,Female,Urban,Prepaid,6,12.741598137772494,224.87326684689288,0.0,101,2,3.3,Cash,12.03,True
20000048,38,Female,Rural,Prepaid,8,14.747972856822441,570.2228179973431,75.83561681103569,64,0,3.8,Bank Transfer,17.57,False
20000049,17,Male,Suburban,Postpaid Premium,54,9.70292409363753,558.5490579036414,6.038209937805092,118,2,4.2,Auto-debit,57.58,True
20000050,38,Male,Suburban,Prepaid,5,19.277516573971315,632.7465664286947,100.09134647826559,81,1,4.1,E-wallet,9.09,False
20000051,31,Male,Urban,Prepaid,9,11.12117372267646,361.0486253062706,56.4519817065078,78,1,3.2,Bank Transfer,14.84,False
20000052,28,Prefer not to say,Urban,Prepaid,3,8.267867469965502,417.47833996120244,75.76495071400436,28,0,3.8,Cash,9.4,False
20000053,41,Male,Urban,Prepaid,8,1.94216320448586,582.8374576662179,53.279552552988775,91,1,4.0,Bank Transfer,8.84,False
20000054,45,Female,Suburban,Prepaid,7,8.686702398419161,389.4787874137951,0.0,54,1,2.5,Cash,10.93,False
20000055,44,Female,Rural,Prepaid,6,8.318065272944319,199.75317844195746,15.570833464186464,74,1,3.7,Cash,12.5,False
20000056,26,Male,Suburban,Family Plan,94,14.801523981407351,210.29143269442773,76.8955735044553,67,2,1.3,Auto-debit,103.13,False
20000057,31,Female,Suburban,Postpaid Basic,22,12.31241812033427,347.71099075474785,56.66623269439376,36,1,4.0,Auto-debit,29.78,False
20000058,38,Female,Suburban,Prepaid,3,4.103154391836914,41.88771561075623,97.23959621222689,102,1,4.2,Cash,5.21,False
20000059,44,Female,Urban,Prepaid,5,10.861271932055187,271.3482169271615,66.13098252148687,63,3,4.2,Cash,13.52,False
